[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:09] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-10 03:16:10] FrameRendered: from current_frame.txt | Source: renderer
