[2026-05-23 06:32:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:54] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:54] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:54] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:54] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:32:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:33:05] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:33:05] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:33:05] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:33:05] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:33:21] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:33:22] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:33:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:33:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:33:24] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:21] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:41] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:43] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:44] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:49] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:54] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:55] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:59] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:36:59] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:00] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:00] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:00] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:03] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:03] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:03] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:04] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:56] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:57] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:58] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:37:59] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:38:00] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:38:00] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:39] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:41] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:41] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:42] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:45] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:46] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:47] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:48] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:49] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:49] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:50] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:50] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:50] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:51] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:52] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 06:39:53] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:00] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:01] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:02] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:03] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:03] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:06] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:07] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:08] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:12] FrameRendered: from current_frame.txt | Source: renderer
[2026-05-23 04:08:15] FrameRendered: from current_frame.txt | Source: renderer
