[2026-05-23 06:36:56] KeyCaptured: 46 ('.') | Source: keyboard_linux
[2026-05-23 06:36:56] KeyCaptured: 116 ('t') | Source: keyboard_linux
[2026-05-23 06:36:57] KeyCaptured: 120 ('x') | Source: keyboard_linux
[2026-05-23 06:36:57] KeyCaptured: 116 ('t') | Source: keyboard_linux
[2026-05-23 06:36:57] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-05-23 06:36:58] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:36:58] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:36:58] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:36:59] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:36:59] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:37:00] KeyCaptured: 27 ('?') | Source: keyboard_linux
[2026-05-23 06:37:00] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:00] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:01] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:01] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:01] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:02] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:02] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:02] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:02] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:02] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:03] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:03] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-05-23 06:37:03] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-05-23 06:37:04] KeyCaptured: 13 ('?') | Source: keyboard_linux
